modelo,split,MAE,RMSE,RMSLE,MAPE,WAPE,R2
LightGBM_Poisson,cv_fold_2,52.17381639002565,217.8497780566013,0.39374023790788093,35.25550896997601,10.887251406221326,0.9725824384293762
XGBoost_Tweedie,cv_fold_2,74.64111446390315,301.2683601325038,0.38758186664233324,33.1688769699167,15.575563273619613,0.9475649567213125
Ridge,cv_fold_3,748.8731260746293,6953.853021361739,0.7295468174034405,83.84186390301838,157.2910656000291,-25.999908650375847
RandomForest,cv_fold_3,76.41104714011938,358.47885620213094,0.4018745125259164,33.11316096699991,16.049147191704265,0.928247279648772
HistGradientBoosting,cv_fold_3,60.956482051285136,263.88426468029337,0.3803898786236896,31.853141656659368,12.80311668724536,0.9611189245492954
LightGBM,cv_fold_3,60.35382718990582,256.82171792961475,0.37894597398638025,31.585484998947276,12.676536867466995,0.9631722849569272
XGBoost,cv_fold_3,58.2518226362141,287.464383489295,0.38328428853537483,31.55125608079345,12.235038134725267,0.9538598111022573
LightGBM_Tweedie,cv_fold_3,52.37441878796815,213.86888696866797,0.392456213967789,34.779738637122925,11.000565856225865,0.974460846454787
LightGBM_Poisson,cv_fold_3,54.864570019268655,226.20230870445343,0.4062878024124674,36.7928718816453,11.523589753116841,0.9714303219072352
XGBoost_Tweedie,cv_fold_3,58.811724147763755,258.59396753391985,0.38783549713551396,34.22323234603565,12.352638169118723,0.9626622572143521
Ensemble(XGBoost+XGBoost_Tweedie+LightGBM+LightGBM_Poisson),test_recursivo,68.15094282050313,235.73067866852097,0.42270904600495873,34.062749616430274,14.588883954084617,0.9643428413300745
BASELINE naive_estacional(t-7),test_recursivo,96.53539104383401,348.38174654466945,0.6170404161336513,49.97502173360991,20.665064328016534,0.9221201144394297
BASELINE media_movil_7,test_recursivo,108.66191004602008,359.8237073320883,0.5311130728137563,50.974480235811605,23.260954731995955,0.9169204628683173
